gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3726593789	StillImage	image/jpeg	https://observation.org/photos/31141407.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3725791091	StillImage	image/jpeg	https://observation.org/photos/27820955.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3725791091	StillImage	image/jpeg	https://observation.org/photos/27820954.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3725791091	StillImage	image/jpeg	https://observation.org/photos/27820956.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3725791091	StillImage	image/jpeg	https://observation.org/photos/27820957.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3724677499	StillImage	image/jpeg	https://observation.org/photos/12666079.jpg							Gerwin van de Maat			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gerwin van de Maat
3724677499	StillImage	image/jpeg	https://observation.org/photos/12666087.jpg							Gerwin van de Maat			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gerwin van de Maat
3724677499	StillImage	image/jpeg	https://observation.org/photos/12666080.jpg							Gerwin van de Maat			http://creativecommons.org/licenses/by-nc-nd/4.0/	Gerwin van de Maat
3724675529	StillImage	image/jpeg	https://observation.org/photos/12668196.jpg							Jan Ligtenberg			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Ligtenberg
3724675529	StillImage	image/jpeg	https://observation.org/photos/12668198.jpg							Jan Ligtenberg			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Ligtenberg
3724675529	StillImage	image/jpeg	https://observation.org/photos/12668197.jpg							Jan Ligtenberg			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Ligtenberg
3723046315	StillImage	image/jpeg	https://observation.org/photos/44063909.jpg							Ria en Sjaak			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ria en Sjaak
3723046315	StillImage	image/jpeg	https://observation.org/photos/44063911.jpg							Ria en Sjaak			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ria en Sjaak
3723046315	StillImage	image/jpeg	https://observation.org/photos/44063910.jpg							Ria en Sjaak			http://creativecommons.org/licenses/by-nc-nd/4.0/	Ria en Sjaak
3722302197	StillImage	image/jpeg	https://observation.org/photos/40220028.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3722302197	StillImage	image/jpeg	https://observation.org/photos/40220029.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3722302197	StillImage	image/jpeg	https://observation.org/photos/40220027.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3721412478	StillImage	image/jpeg	https://observation.org/photos/37834948.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3721412478	StillImage	image/jpeg	https://observation.org/photos/37834949.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3721412478	StillImage	image/jpeg	https://observation.org/photos/37834950.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
3721281889	StillImage	image/jpeg	https://observation.org/photos/39181696.jpg							Bas de Wilde			http://creativecommons.org/licenses/by-nc-nd/4.0/	Bas de Wilde
